,all_attempts,good_attempts,good_fraction,new,old
0,16.0,16.0,1.0,A11,A22
1,31.0,0.0,0.0,A1,A1
2,24.0,0.0,0.0,A12,A12
3,14.0,14.0,1.0,A16,A14
4,11.0,0.0,0.0,A4,A4
5,10.0,10.0,1.0,A22,A1
6,19.0,19.0,1.0,A4,A12
7,9.0,9.0,1.0,A16,A7
8,4.0,0.0,0.0,A14,A14
9,7.0,7.0,1.0,A7,A1
10,7.0,7.0,1.0,A1,A12
11,7.0,7.0,1.0,A14,A16
12,23.0,0.0,0.0,A16,A16
13,10.0,0.0,0.0,A11,A11
14,6.0,6.0,1.0,A22,A16
15,29.0,0.0,0.0,A7,A7
16,2.0,2.0,1.0,A4,A1
17,4.0,0.0,0.0,A22,A22
18,4.0,4.0,1.0,A17,A16
19,1.0,1.0,1.0,A8,A4
20,5.0,5.0,1.0,A7,A12
21,1.0,1.0,1.0,A14,A8
22,5.0,5.0,1.0,A16,A12
23,2.0,2.0,1.0,A17,A12
24,18.0,18.0,1.0,A12,A4
25,2.0,2.0,1.0,A12,A7
26,5.0,5.0,1.0,A1,A8
27,5.0,5.0,1.0,A7,A16
28,14.0,14.0,1.0,A11,A1
29,2.0,2.0,1.0,A22,A7
30,2.0,2.0,1.0,A16,A22
31,3.0,3.0,1.0,A16,A1
32,13.0,13.0,1.0,A1,A7
33,4.0,4.0,1.0,A1,A11
34,4.0,4.0,1.0,A14,A12
35,8.0,8.0,1.0,A12,A1
36,1.0,0.0,0.0,A8,A8
37,2.0,2.0,1.0,A7,A22
38,2.0,2.0,1.0,A11,A12
39,2.0,2.0,1.0,A7,A8
40,2.0,2.0,1.0,A4,A8
41,3.0,3.0,1.0,A16,A4
42,1.0,1.0,1.0,A12,A8
43,6.0,6.0,1.0,A12,A11
44,3.0,0.0,0.0,A17,A17
45,4.0,4.0,1.0,A14,A4
46,1.0,1.0,1.0,A12,A16
47,3.0,3.0,1.0,A16,A8
48,2.0,2.0,1.0,A12,A17
49,1.0,1.0,1.0,A16,A17
50,1.0,1.0,1.0,A7,A17
51,4.0,4.0,1.0,A22,A11
52,1.0,1.0,1.0,A8,A1
53,3.0,3.0,1.0,A1,A22
54,1.0,1.0,1.0,A11,A17
55,1.0,1.0,1.0,A1,A4
56,1.0,1.0,1.0,A11,A16
57,1.0,1.0,1.0,A4,A16
