,mean_words,median,model_label_new,model_label_old
0,9.428571428571429,7.0,A12,A7
1,41.0,41.0,A12,A22
2,6.857142857142857,2.0,A12,A8
3,15.25,10.0,A12,A17
4,18.625,15.0,A12,A1
5,97.0,97.0,A4,A11
6,24.0,24.0,A4,A8
7,17.833333333333332,6.0,A11,A1
8,4.5,4.5,A11,A7
9,12.777777777777779,4.0,A7,A12
10,2.0,2.0,A7,A17
11,71.0,71.0,A7,A8
12,1.5,1.5,A7,A16
13,20.6,10.0,A7,A1
14,46.0,46.0,A14,A12
15,41.5,41.5,A14,A8
16,27.666666666666668,21.0,A14,A1
17,2.0,2.0,A14,A17
18,6.0,6.0,A14,A7
19,18.5,18.5,A22,A7
20,40.666666666666664,50.0,A22,A1
21,5.5,5.5,A22,A8
22,7.4,9.0,A22,A12
23,39.0,39.0,A22,A16
24,17.5,4.0,A8,A1
25,20.5,11.5,A8,A12
26,15.666666666666666,6.0,A16,A12
27,7.5,5.0,A16,A1
28,32.5,18.0,A16,A8
29,7.5,7.5,A16,A7
30,36.833333333333336,22.5,A16,A17
31,21.25,13.5,A1,A7
32,25.285714285714285,13.0,A1,A8
33,8.6,8.0,A1,A16
34,29.0,19.0,A1,A12
35,24.8,32.0,A1,A11
36,7.5,7.5,A1,A9
37,3.0,3.0,A9,A7
38,80.0,80.0,A9,A12
39,17.6,19.0,A17,A12
40,24.0,15.0,A1,A17
41,23.75,16.5,A8,A16
42,58.5,58.5,A8,A7
43,13.0,13.0,A8,A4
44,6.0,6.0,A7,A22
45,8.0,8.0,A7,A9
46,33.0,33.0,A17,A8
47,11.0,11.0,A17,A1
48,27.0,27.0,A16,A14
49,42.0,42.0,A16,A4
50,33.0,33.0,A16,A9
51,6.0,6.0,A16,A11
52,1.0,1.0,A16,A22
53,6.0,6.0,A11,A17
54,53.0,53.0,A11,A12
55,45.0,45.0,A9,A8
56,29.0,29.0,A12,A11
57,23.75,15.5,A12,A16
58,2.0,2.0,A11,A4
59,75.0,75.0,A22,A17
60,33.0,33.0,A1,A4
61,1.0,1.0,A1,A22
62,6.0,6.0,A17,A22
63,4.5,4.5,A17,A16
64,1.0,1.0,A4,A17
65,3.0,3.0,A4,A16
66,1.0,1.0,A8,A9
67,1.0,1.0,A14,A16
68,12.0,12.0,A9,A1
